,GARCH,ARIMA,TOTAL,ACTUAL,SIGNAL
2019-04-10,0.0003540875339409343,0.0037557730595208037,0.004109860593461738,0.008601220183773675,1
2019-04-11,0.0004245881547753932,-0.004853576447640133,-0.00442898829286474,-0.013957208894438786,-1
2019-04-12,0.00022599594124188093,0.009124986829979174,0.009350982771221055,0.007956769283313313,1
2019-04-15,0.0003349448695273263,0.0011405880326558681,0.0014755329021831944,0.002210761280954053,1
2019-04-16,0.00024161658734417525,-0.001062016638443909,-0.0008204000510997336,-0.00170818230494911,-1
2019-04-17,7.770638568299848e-05,0.0006571572569254778,0.0007348636426084763,0.019185497643031492,1
2019-04-18,0.00031309416914767973,-0.018553000815705024,-0.018239906646557346,-0.015698593529353905,-1
2019-04-22,0.0002183126535111756,-0.0028132280533895992,-0.0025949153998784235,-0.00030610825762740837,-1
2019-04-23,0.00035286311673585717,-0.0025192221115961965,-0.0021663589948603392,0.01103898842778681,-1
2019-04-24,0.00047034457004461344,-0.016506265352343803,-0.01603592078229919,-0.015863647886357128,-1
2019-04-25,0.0003311340573634279,0.00042374722110996235,0.0007548812784733902,-0.007573011600870952,1
2019-04-26,0.00027593019065816647,0.01410829718913604,0.014384227379794208,0.004331040034878833,1
2019-04-29,0.00014313884719915318,0.0037913585782776847,0.003934497425476838,0.006301687845039568,1
2019-04-30,0.00041685584337005326,-0.0007905981910933077,-0.0003737423477232545,-0.020960228761976316,-1
2019-05-01,0.0004170378482993772,0.023671525528317198,0.024088563376616575,0.06736291350032773,1
2019-05-02,0.00041249571758185307,-0.046766262522865934,-0.04635376680528408,-0.05444794845784055,-1
2019-05-03,0.0002734290190532491,0.003217455694153108,0.003490884713206357,0.018883712180714784,1
2019-05-06,0.00043381469285329343,-0.009177587685961714,-0.00874377299310842,-0.02791792231328822,-1
2019-05-07,0.0007709224048098564,0.01825525032887081,0.019026172733680666,-0.011763821254723784,1
2019-05-08,0.0008564900734083557,0.023337302059821024,0.02419379213322938,0.02752408551247123,1
2019-05-09,0.0007319045691910265,0.002793043767414272,0.0035249483366052987,-0.010999338145491718,1
2019-05-10,0.0008247466999890328,0.014494418044665414,0.015319164744654447,-0.003147993596821129,1
2019-05-13,0.0010240821636337992,0.009805078818391195,0.010829160982024993,-0.04592647862880448,1
2019-05-14,0.0009685185536868666,0.060295774338460215,0.06126429289214708,0.07558298568336015,1
2019-05-15,0.000937570171907486,-0.016063854285268287,-0.015126284113360802,-0.0037981596162086663,-1
2019-05-16,0.00034853786351460043,-0.009373703107281313,-0.009025165243766713,-0.01631749220437522,-1
2019-05-17,0.000578538316359329,0.0035642447722123876,0.0041427830885717165,-0.0012885473500326731,1
2019-05-20,0.000593559519562675,0.005580306980995006,0.0061738665005576805,-0.02607120080244418,1
2019-05-21,0.0007371467876711436,0.032591432728255224,0.03332857951592637,0.05075865396307399,1
2019-05-22,0.000746935732439381,-0.019727900947694447,-0.018980965215255066,-0.039673624609240885,-1
2019-05-23,0.0006596263233602015,0.022924641703105243,0.023584268026465446,0.0034671542522111028,1
2019-05-24,0.0007270117768616985,0.014328390550847718,0.015055402327709416,0.013369060811433402,1
2019-05-28,0.0006861180520736694,0.005977905888653779,0.006664023940727449,-0.0002954541787524739,1
2019-05-29,0.0007215099344677898,0.00492584484191932,0.00564735477638711,-0.0006371650996260195,1
2019-05-30,0.0005963751020707858,0.002556906552039923,0.003153281654110709,0.009953817488938387,1
2019-05-31,0.0006204088790310191,-0.001677582656237017,-0.0010571737772059977,-0.02345488679826656,-1
2019-06-03,0.000833555827847798,0.016318945979132464,0.01715250180698026,0.008119839018215254,1
