,GARCH,ARIMA,TOTAL,ACTUAL,SIGNAL
2019-01-02,0.0012008288720367043,0.005369604927490819,0.006570433799527524,0.009618859195733798,1
2019-01-03,0.0012348247863346764,-0.003077695254368516,-0.0018428704680338395,0.0011403353789880555,-1
2019-01-04,0.0011796142875603085,-0.011032425673278156,-0.009852811385717848,-0.10492439602352377,-1
2019-01-07,0.000572291133149983,0.012053010239539213,0.012625301372689196,0.04180318675145589,1
2019-01-08,0.0005348260629465239,-0.009794554257477245,-0.009259728194530721,-0.0022280593837766816,-1
2019-01-09,0.0005437879050980192,-0.014387531402907086,-0.013843743497809067,0.018883569094586328,-1
2019-01-10,0.001205501344145564,0.008107833767789813,0.009313335111935377,0.01683904278843862,1
2019-01-11,0.0012152406135681653,-0.008313312958703935,-0.00709807234513577,0.00319130626725439,-1
2019-01-14,0.0011765189340871745,-0.002488458389909587,-0.0013119394558224126,-0.009866695206609322,-1
2019-01-15,0.001166488346292858,0.004167050552372789,0.005333538898665648,-0.015151219046400044,1
2019-01-16,0.0011647657551378428,-0.006897234695602845,-0.005732468940465002,0.020260141255205255,-1
2019-01-17,0.0012787000326040044,-0.007842830080814153,-0.006564130048210148,0.012142574807868733,-1
2019-01-18,0.0012315491603584778,0.00040576759934992523,0.001637316759708403,0.005920124761435552,1
2019-01-22,0.0012505528235501582,-0.004556388670851299,-0.0033058358473011407,0.006140531536837912,-1
2019-01-23,0.001180741113296781,0.008770082839490077,0.009950823952786857,-0.02270187936458523,1
2019-01-24,0.0011752849759633511,-0.0009493072036610721,0.00022597777230227902,0.004036193315362979,-1
2019-01-25,0.0011656833258076123,0.001095092862594072,0.002260776188401684,-0.007957887339513192,1
2019-01-28,0.0012295723968329519,0.006416459032618974,0.007646031429451926,0.03259978923054252,1
2019-01-29,0.0012216229073537478,-0.007475228923503428,-0.00625360601614968,-0.00929765162621532,-1
2019-01-30,0.001295677100134065,-0.001983812345027701,-0.0006881352448936361,-0.010418860768449001,-1
